,text,author,created_at,bio,generator,location,hashtags
71,"@dearnonnatives ""I drive a Jeep Cherokee and I'm not offended."" 

This is what that rebuttal sounds like.",Chelsolo,2019-02-11 00:32:33,blimp enthusiast • follow me for very low-quality content • I am a #crecomm grad,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
72,@golovashkina You must be stupid.  He is not referencing the Trail of Tears.  And if he were I am not offended; my great grandmother was 100% Cherokee Indian.  Was yours?  You kids today are just lazy and want to hop on the Socialist bubble.,Sheilalal5,2019-02-10 22:30:41,Socialism breeds mediocrity.  Think of your children!,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
73,@DLoesch @FULLDEFENCE I’m a songwriter and that is a great hook line...I’ll see you on the trail of tears...Man...That is as tear jerking as a folk or country singer could get...wow...I’m Cherokee and NOT offended by that. I may write that song...,kellyjoeray,2019-02-10 13:51:50,"Ret. USN Submariner. Sr. VP for ALS,LLC in Norfolk,VA. BAMA Fan. Libertarian Town Councilman. Ex-working musician. Poet. Songsmith. Believer. Worship Leader.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
74,"@RyanHillMI @realDonaldTrump My Great Grandma was 100% Cherokee She was a wonderful person
Even though I was young about 8 the last time I saw her I remember her well
I do not see what your seeing here and I am not offended in the least nor would she have been.
Indigenous people. That offends me",MVgopurple,2019-02-10 12:22:45,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
75,@DavMicRot @realDonaldTrump R u Native American jackass?  I am and I’m not offended in the least by Trump. My family has multiple books about our history(including the journey on the trail of tears)in Cherokee Heritage museum in Okla.  So PLEASE EXPLAIN NA concerns to us “Rothschild”....freaking moron,enoughalready93,2019-02-10 04:38:55,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
76,"@tripgore ""I'm part Cherokee and I'm not offended"" - white proverb",chopisracist,2019-02-04 05:31:24,Devoted to ending the tomahawk chop. We are not honored.  Educating folks one or two at a time. #notyourmascot #stopthechop #thechopisracist,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
77,"@altNOAA I agree. I am half Native American/European decent.  I am a tribal member and most of my extended family still live on the reservation.  I was not offended by Elizabeth Warren for being proud of having Cherokee blood. All my life, when I tell people...",sannishwoman,2019-02-01 21:54:37,,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
78,"@rmck51337 @emmy_louise_ @AsteadWesley BTW: My wife and in-laws are all 4/4 enrolled Lakota and the ""my great grandma was a Cherokee princess"" is a favorite white people joke. But they're not offended by people who long to have some connection to Natives, but racial slurs like ""Pocahontas"" are damned insulting.",ArloTWalker,2019-02-01 20:30:32,"""I could stand in the middle of Fifth Avenue and say George Washington captured the airports and I wouldn't lose any voters, okay? It's like incredible,""","{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
79,"@_bg37 You choose what you want to be offended by and I will do the same. My wife who is of Cherokee descent(both grandparents full blooded) is not offended by the tomahawk or the insignia on my account, but you carry on snowflake.",ATL14ESQ,2019-01-14 21:31:38,"Avid Braves Fan, First and foremost. MLB and NHL Fan secondly.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
80,@eugenegu @realDonaldTrump I am a Cherokee and not offended.  I am however offended that Elizabeth claimed to be Cherokee to benefit herself at the Cherokee Nations expense.,DavidG02986909,2019-01-14 17:05:29,Last place for freedom of speech?  I came here to help our President and to awaken those asleep.,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
81,"@turtlelaughing my experiences, trying to dismiss my feelings because ""we're all one race,"" arguing with me about redface, cultural appropriation, darkening your skin for Halloween costumes, not to mention the dreaded ""Well I'm part Cherokee and I'm not offended!""",AliNahdee,2018-11-29 15:40:08,Biracial Anishinaabe / Ojibwa. Creator of The Aila Test & Does The NDN Live. Freelance writer for Indian Country Today!,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
82,"@KevinHart4real I’m Cherokee from OKC and just telling you I got kids and not offended.. fing sensitive ass white people.. it’s a 1 year old family bday GTFO this couldn’t have been more insensitive than @Redskins name https://t.co/UZ0FLyeRms
Kevin Hart Defends Son's 'Cowboys &amp; Indians' Party, Says it Wasn't Racist https://t.co/pK8w1Ayfga",lbcbeastmode,2018-11-28 23:00:29,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
83,@JamesBondNNZ @pjdacosta68 @rmd567479 @texasfrederick @allbikesbiker @mba382 @PatriotParris @judgedredd20 @StevieDougie @Jesse45Colt @nancyrutas @Charcin34Davis @SamOliva308 @TheOthersRdead @zeusFanHouse @zombie19771 @BatgirlWins @ParfaitPatty @katt9454 @FnicholasR @nattyannletter @MansardtheGreat @PollyPepper16 @ihatethemedia @StappElizabeth @caterinagrove @Jaynitess @stephan_vanhoek @thelibertyjoe @DonGibs22787443 @Galaxy500Q @phillyeaglesfa1 @PaulConservativ @Kintu3 @linlady716 @Jcapro4 @ride1hour @crypt_ghost @madmamma4 @chilipe01641625 @mutenice @shadowbirddog @Zarasellskids @DonHogue3 @Tsmith508 @SandraDodd1 @Momofonly3 @INXSBella @DebsterAPTT45 @jmturner_author I have Cherokee in me and I was certainly not offended.👍,Jeannie_C15,2018-10-24 03:17:44,#Mom #Blessed #Christian #MAGA #BackTheBlue #Q #SupportOurTroops #KAG #Conservative #Trump2020 #BuildTheWall #GoDawgs 🇺🇸🇮🇱🙏🏼,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
84,@Seaworthy1again @sean_spicier BTW : I am Cherokee and Jewish! But I'm not offended.,Jeanshelley5,2018-10-21 23:52:26,,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
85,"@mainelife @jasoninthehouse But allow Dems to push all kinds of racism and sexism, bigotry and what not.  Finally there is a reaction.  This is not racism here...even the Cherokee Nation is not offended by the sarcasm of calling her Pocahontas",Boomingbox,2018-10-18 20:09:51,"Traditional Catholic.  In the end, I hope I will hear ""You have kept the faith.  You have fought the good fight.""  
#MAGA","{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
86,@EdKrassen @realDonaldTrump I’m Cherokee and I’m not offended at all so stop speaking for the Cherokee Nation Ed.,Nanileeaki,2018-10-17 19:35:58,"President & CEO of my own trucking company - and yes I did build it myself BHO! I love my President, God, Family Country, Freedom #2A 💋🇺🇸💕🇺🇸💕🇺🇸💕","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
87,People using the phrase “I’m part Cherokee and I’m not offended” to defend Elizabeth Warren and shut down criticisms by the Cherokee Nation and other Native people are entirely missing the point. You are part of the problem.,johnsonnicolev,2018-10-16 23:27:50,Tar Heel in 🇬🇧. Comms @ODIDev covering #migration and #development @MIDEQHub and #MIGNEX. Also here for the animal gifs and witty social commentary.,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
88,"@FoxNews @RepMullin @SenWarren @foxandfriends @RepMullin-R #OK2 Comes out of his Rino closet &amp; puts on a conservative costume for the public. He's not offended by Warren's Cherokee claims. He's never debated an opponent. He broke his term limits pledge. And Conservative Review, FreedomWorks &amp; Heritage rate him below average!",Castaldo2020,2018-10-16 16:05:13,"I am a 2020 Candidate for the U.S. House of Representatives OK-2, abortion abolitionist, inclusionist, & lifetime member of the Oklahoma Libertarian Party. ✌🏽","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,['OK2']
89,"@RepMullin-R #OK2 Comes out of his Rino closet &amp; puts on a conservative costume for the public. He's not offended by Warren's Cherokee claims. He's never debated an opponent. He broke his term limits pledge. And Conservative Review, FreedomWorks &amp; Heritage rate him below average!",Castaldo2020,2018-10-16 16:04:37,"I am a 2020 Candidate for the U.S. House of Representatives OK-2, abortion abolitionist, inclusionist, & lifetime member of the Oklahoma Libertarian Party. ✌🏽","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,['OK2']
90,@knockhead2 @BVWyatt @jaketapper The Cherokee Nation have no right to ‘be offended’ their blood quantum requirement is low in an effort to overinflate their numbers. I am not offended. I won’t be offended. And someone like you ‘pretending to be offended’ doesn’t change my mind. Try an education.,Hammer0090,2018-10-16 00:30:56,🐝♏️🏳️‍🌈 he/him - SGCO Dem PCP for 320.,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
91,"Another reason why blood quantum shouldn’t mean shit: All the Chads and Beckys claiming their great-great-grandfather was Cherokee or Chippewa but THEY’RE not offended when it comes Indian costumes or mascots. No, fam - a true Native knows exactly why that shiz is so offensive.",amber_lcarter,2018-10-15 23:32:15,"Best damn tapper, the most smartest. She/her.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
92,@highimcarli_ @Lstrebz12 @keahss1313 So because I’m _% Cherokee Indian that means I represent partially as an Indian. I’m not offended. I think Indians would have loved to have a team named after them and a mascot. 🤷🏼‍♂️,tcoff6,2018-10-09 03:57:57,"My wife is my life, Publix is my second life, and watching sports is my third. Go Browns, Cavs, And Indians.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
93,"@Ivanus_Enkomi @GoOutInJoy @chick_in_kiev @Yandy My wife’s Cherokee and she can fit into these costumes. Maybe that’s why she’s not offended. Snowflakes have a need to be offended for others simply because they like conflict. Truth be told, most Indians probably aren’t offended that many of us think they are beautiful!",trae172001,2018-09-24 21:17:34,"Veteran, Husband, Father, Christian, Supporter and Defender of the US Constitution.","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
94,@mattymatty2000 @Braves I am an eighth Cherokee and not offended so #ChopOn #Braves,StarlaMBrown,2018-09-03 18:54:02,Life|Sports|Policy | @afpflorida Deputy State Director | Opinions? I have a few & I proclaim them my own | likes & retweets 🚫 endorsements #Jesus #CJR #Braves,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,"['ChopOn', 'Braves']"
95,"@JanGilson Good for them 👍 I have a friend who's 100% Cherokee and he is disgusted by the controversy over the sports team names, he says he's not offended, and white people are the ones making a big deal about it. Just his opinion.",Robstark50,2018-08-27 16:48:01,"Motorcycle, BMW & Lamborghini enthusiast. I'm an ex this, an ex that. I've been there, and done that. Support our Troops. No DMs. Not a Democrat #2A Infidel.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
96,@selina3sticks @chrissyteigen I was just about to say the same thing! It sounds callous but I doubt she’s actually Roma if she’s throwing around slurs. It’s like white girls saying “I’m 1/8th Cherokee and *I’M* not offended.”,_thats_a_bingo,2018-08-27 03:15:44,the internet’s favorite grandpa,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
97,"@pattymo ""Redskins can't be considered a racial slur because I'm not offended and I'm 1/64th Cherokee."" https://t.co/3T5gC3ugKe",Tsunami_Doug,2018-08-22 20:43:55,Austin Collie once yelled at me in the MTC. True story. Views are my own and not those of the DoD or U.S. Army.,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
98,"“i’m 1/16th cherokee and i’m not offended” 
ok cool, does that mean we only have to pay 1/16th attention to you",RuChainz,2018-08-17 04:55:46,Reconnecting. Decolonizing. #MMIW,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
99,@LeonardPittsJr1 As a person with many ancestors from the British Isles (and some Cherokee) I would like to say that I’m not offended by the Fighting Irish or the Celtics. I’m also not offended by the Caucasians shirt. I actually thought it was rather funny.,NathanHale2000,2018-08-03 00:06:24,"Concerned American. Loves reading and the outdoors. Hates lies, deception and narcissistic politicians.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
100,@chunkychamp11 @ClintonMSix141 I’m Cherokee and I’m not offended. 😇,KarenMKunkle,2018-07-09 03:09:58,"From the day we are born, we look for love because it is love that nourishes our soul. Past posts don’t reflect who I am now. XO’s ❤️","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
101,"@CaroleLindstrom @WilliamShatner Nope.  I am proudly American.  I have English, Irish and Cherokee DNA, but I am only concerned with being a citizen of the United States.  Just because I don't ""live it"" doesn't make my ancestry any different.  I also don't live my Irish or English ancestry.  Still not offended.",CecileMisty,2018-07-03 22:13:02,"Housewife, mama and Mima, Christian, Conservative Republican. Please don't DM me with hopes of flirting. I am HAPPILY married and will block you. #MAGA #KAG","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
102,"@ThePerezHilton I read the books and watched the tv show. I enjoyed both, my daughter also enjoyed watching them on DVD. My daughter is bi-racial and I am My family is Cherokee Indian. I am not offended by anything from the past because it is what it is “the past”.",EllieBlack67,2018-06-25 17:28:19,"Try as you may to bring me down, but remember, like a Phoenix from its ashes, I will rise again...","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
103,@jxmadison17 @dennism1096 ‘I have Native in me’. ‘But my gggrandma was Cherokee’. ‘I’m Native and I’m not offended’.,aliwatson117,2018-06-16 14:33:14,Oglala Lakota. Japanese rock/Visual Kei. Writer. Photography. IG: AliW117. Cashapp/Venmo: aliwatson117 @jrockintl @ntvtwt Enby/they/she Art: @igmuthankastore,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
104,@Atheist_Geek48 @Duke1CA @Bonimba6 @Charlesthornt @PainterPay @MartinJoss1 @tklforgiven @VincyBigJ @dykhead @weismonger_judy @Global_Occupant @spsst007 @MegaVoIt @humanisthobbit @cherokee_autumn @RCReed40 @bev_chiddix @Cosmic_Rays @tcunderdahl @Cern_lXXl @Newtonfrisky @dvibrationz @ax2n38 @dcj_daniel @ron_humphrey @Eschertology @Thedukeistheman @huminous @AtheistEngineer @JargleBargle @godlessteach @ReflectShade @APoulikakos @AprilLigeia @FreeOpportunist @GazzaBuzzman @AwayFromTheKeys @humanistjon @Zaephou @luzeternapr @RealDCEric @Greg_MarineLab @SteveTiger999 @No2Dogma @MPaulkovich @r7yrb7 @mabs239 @Doubtism @ChristisRisen55 @JesusisLord50 I'm not offended my friend. Just pointing out that your language and demeanor do not make you more believable or appear more intelligent. Quite the opposite in fact. 😕💜✝️,mikenedie,2018-06-05 16:32:03,"Christian, father & husband. Part time musician and full time follower of the Lord! 😃 💜 ✝️","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
105,"@indiucky @JamseSr @gr8tjude @AnnaApp91838450 I am a cherokee and was not offended!  I am also American and while proud of my cherokee roots, i am most proud to be an American like you! #kag",sandman5962,2018-05-18 02:31:44,proud to be followed by @SharylAttkison  @CVPayne        @JennyBethMartin   #KAG @JessieJaneDuff @RealDrGina @RitaCosby lifetime NRA,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
106,"@StelliniTweets just because you think chief wahoo is racist, doesn't mean that it is. I'm 1/4 Cherokee and I love the Indians, redskins, braves names.  In fact, wash post did a poll amongst Natives and more than 90% were not offended by redskin name. why are you easily offended?",jor689,2018-04-15 20:55:19,#WeTheNorth. Cardiologist/Vegan. I hate Lebron James/Eric Schneiderman/Barack Obama/NE Patriots/Amy Schumer. Raptors fan Yay! Dolphins fan...Tank for Tua/Hebert,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
107,"Like okay SIR I’m glad YOURE not offended by it with your “my great great grandma was a Cherokee princess” havin ass, but the natives that are EDUCATED about their history and culture know what that word means and THEY are offended",MadisenWelliver,2018-04-10 04:10:57,"Mni Wiconi 
Water is Life 
http://thefreethoughtproject.com/10-protest-dakota-access-pipeline/","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
108,@_menaow Why are you so involved in some thing your not apart off 🤷🏻‍♀️I’m saying as me and every one and my family that’s apart of the Cherokee nation tribe are not offended by people making a belt or a purse 😂 do native Americans have a patent on any of that stuff???,lexi__l00,2018-03-30 17:42:53,❣️ owner of the @CussingCattleCo. 👼 r.i.p LPT| Dylan is my favorite human 🖤,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
109,"1/64 Cherokee/Apache I’m not offended and I voted for Trump, so build that wall starter pack. https://t.co/Bvpnmo5xFr
We have this Aztec top!!!! Originally $30 get it for $17!!!! First come first serve!!! Message me!!! https://t.co/BzLEZQWJ9F",wordglass,2018-03-30 03:03:08,problematic / #Indigenous #Ojibwe /#ProLGBT / #Queer #SciFi #Writer/ #art / #Disabled #mom/She-They /Instagram: wordglass.mari / http://patreon.com/wordglass,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
110,"I can already hear the ""my great great grandmother was a Cherokee princess and I'm not offended"". 

It's called blatantly racist because it IS blatantly racist, change the name. https://t.co/XB2wQUsB4C
Red Indian ice cream at Jonesville business called 'blatantly racist' https://t.co/YvDpMX5QKX",decolonizeont,2018-03-26 09:43:43,aspiring filmmaker oddityincommodity@gmail.com,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
111,@Kyle_Shipp @Shesta_HOF @Buster_ESPN I want to hear from real natives who are offended. Not the white guy who is 1/64th Cherokee. I know many natives who are not offended by this and never have been.,vikingoutlaw78,2018-03-23 00:28:45,"Boxing, baseball, and history are my passions. I live to honor the game and the sweet science. father of 4 crazy, wonderful kids.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
112,"I don't know how to say this, but if you're looking for a Native American's opinion on Chief Wahoo, please don't trust the suburban mom in the Facebook comments who has ""never looked into her heritage or practiced tradition, but is 1/16 Cherokee and not offended. Go tribe!""",_NadiaPotia_,2018-02-05 14:15:18,BGSU Alum | passionate about developing communities | Feminist | BLM | She/Her/Hers | ESFJ-T |,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
113,"@ksb929 @ar15m4mid @southerngirl151 @ARsRcool @RNcat50 @Goz_1911 @CaliDeplorable @LittleSigP938 @SKYRIDER4538 I'm not offended by the name Redskins; or pale face. I'm Irish, Cherokee, German and Scottish. RE: American 😉🇺🇸",1165R_USPatriot,2018-02-05 07:10:07,🇺🇸⚔️ #MAGA ⚔️#TRUMP  #KAG🇺🇸   #2ADefender🐍 #WWG1WGA #SUPPORTOURTROOPS  #VETERANS   #NoSharia #DeportIllegals,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
114,"@espn Rob Mancrud needs to take a hike. Leave the game alone! I am half Cherokee and I am not offended. If it’s not broken, why fix it.",CCastlefly,2018-02-02 01:50:28,St. louis Cardinals. Blues. Chiefs. Tottenham. MotoGP. F1. Riegers whiskey. Midwest raised. Cubs suck,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
115,"@dotton707 @colinb82699 I'm 1/4 Cherokee Indian, and I'm not offended by it, neither is my 1/2 mother, her 3/4 aunt's uncle's and her mom, and not even my 100% Cherokee great grandma cared when she was alive",bdude2010,2018-01-31 18:39:41,So Lit- RedFoo,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
116,"@JonHeyman i'm 1/4 cherokee and had no problem with the Wahoo logo.  In fact, i'm a lifelong Indian fan because of Wahoo. Only offends snowflake white folk like you.  If you look at the Wash Post survey among Native Americans, a large majority were not offended by the Redskins name or logo",jor689,2018-01-30 19:19:10,#WeTheNorth. Cardiologist/Vegan. I hate Lebron James/Eric Schneiderman/Barack Obama/NE Patriots/Amy Schumer. Raptors fan Yay! Dolphins fan...Tank for Tua/Hebert,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
117,So..... I’m Greek/CHEROKEE and i am NOT OFFENDED by chief wahoo at all and neither is my grandma who is almost full Indian............ what r u mad about today?,lennybaby_,2018-01-30 16:27:59,12/14/16 rip mom 🦋🌈/ UMU '20 ΑΞΔ / future Mental Health Counselor,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
118,"im pumped for all the ""well im 1/16 cherokee and met an indian on vacation in arizona once and im not offended!!""",katyistgeil,2018-01-30 13:59:28,a one woman Sodom and Gomorrah 🔥💀,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
119,"@ManOfBing Of course you have Cherokee blood in you. How convenient. ""As someone with Cherokee blood, I'M not offended, therefore, NO Native Americans are offended, and anyone who says otherwise is a racist."" 🙄",QueenofTacos,2018-01-30 01:29:17,"Compulsive Tweeter, Panda Gangsta, An Acquired Taste. Ghost Esq said I'm a disaster. 💕 (but me, I'm a machine, & I was built to last) she/her","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
120,@LatiNo_Chill My grandma was full Cherokee and I’m not offended in the slightest bit. Too PC imo,hopie234,2018-01-30 00:44:11,"Bayern, Germany, Panthers, NHL Canes, Clemson 🏈 & Hornets fan| John Mayer enthusiast | Sci-fi & MCU|🇺🇸🇵🇱🇩🇪🇮🇪🏴󠁧󠁢󠁷󠁬󠁳󠁿[private @hopiethekiddo]","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
121,@BleacherReport @DavidWaldstein I’m Cherokee and I’m not offended whatsoever. I’ll always support and rock chief wahoo,JaB729,2018-01-29 22:29:34,"""It's not the size of the dog in the fight, but the size of the fight in the dog"" ~Archie Griffin. Erika + Jack Lee ❤️","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
122,"@TEN4Texas @cherokee_autumn @Mandokero @Dwyertd @Valuable2017 @Axiomatically_A @billnsher42197 @SANITY_or_not @sdv92 @TweeterMmt @jstines3 @675849r @tgregg1963 @ChrisMahan14 @GOPHouse @GOPSenate @POTUS @realDonaldTrump @DrSueDVM @THETXEMBASSY @ChuckNASCAR @sunbeltgirl @JAmy208 @emaglaw @DNC You can say ""troll"" all you want. I'm not offended. You don't like being called out on the stupid horse shit you say and that too fucking bad for you",dzeieio,2018-01-28 15:54:12,Titans fan in NJ. Father of 4. Love @Jzeieio .Trump sucks.Atheist. #titanup  I follow back Resisters & Titans fans. Big fan of standup comedy #fbr,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
123,"Oh good hell let's just forget the entire history of this country. I'm Cherokee Indian and not offended. Let's live in a fantasy land. https://t.co/UPnbFn6eru
'Their slavery is celebrated': Notre Dame activists call for removal of Columbus murals https://t.co/6zXZF2pzYM",GriffeyGrof,2017-12-05 15:50:00,"My name is my name.
Notre Dame Nation","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
124,@Chem_pettway @angela_rye The Cherokee were some tough hombres. They endured a lot of hardship. True warriors. And YOU were offended by POCAHANTAS? By Andrew pic? Who knew there were Cherokee SNOWFLAKES? poor babies. Did the evil Trump make you cry? Not offended by Warren's lie? Wow!,evanMgore,2017-11-29 23:39:26,,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
125,@Wenzday3 @oldcatlady55 @MrsScottBaio @realDonaldTrump @SenWarren I’m German and Cherokee. I’m not offended in the least.,Sherri_Wag,2017-11-29 21:41:52,"I'm a proud southerner. love God, our Constitution, DOGS & coffee. Trump supporter from day one! 🐶❤️","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
126,@Education4Libs @RowseTerry Cherokee here and not offended! I'm glad POTUS is calling out that thief!,tammiejwilliams,2017-11-29 19:53:08,"Proud American supporting Donald Trump! Doing everything I can to help save our Nation. I love to ride motorcycles, hunt, and fish. #1A #2A #NRA #MAGA","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
127,@Education4Libs @BlueAJ41 Well the 1/8 Sioux and the 1/32 Cherokee in me was not offended. All of my dna was offended by what senator warren did.  😊,fairymoon4,2017-11-29 19:43:28,The Odds are Never in deplorable's favor ! MAGA ! PUT ME ON A LIST! u will be blocked !NOT LOOKING 4 A DATE!!@realfairymoon4 (2nd account),"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
128,@Education4Libs I'm Cherokee and I'm not offended.,BettyGreene2,2017-11-29 19:35:52,"Molon labe.  Joined to get the news straight, not MSM propaganda.   Hobby is studying American History, the Constitution and Amendments. MAGA","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
129,"@ThePierreAlexis @CNN Can't speak far the Southwest, but the Lakota and Cherokee that I know are not offended by ""Indian"".  I assume nothing, I'm going by actual experience from actual people.  I'll ask around at the next Rendezvous though and see what the consensus is.",2GuysView,2017-11-29 14:55:25,The only place on the internet for an honest opinion. Just two average guys expressing thoughts about everything that they can.,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
130,"I have more Cherokee and Apache in me then Pocahontas ever thought about having and I'm not offended but then again I never used my nationality to benefit me https://t.co/humLKGsjJN
💥Pissed off navajo leader gets his panties all twisted claiming #Trump used an unnecessary slur👉forgets @SenWarren lied on her admissions forms to Harvard #hypocrite #Liar #Liberallogic to obtain special native american privilege  
#typicalliberal #MAGA
https://t.co/0gNYLzVcBM",Justice41ca,2017-11-29 02:24:19,We the People saved USA for ALL. You are Welcome 😊❤󾓦 America1st-USA Stands with Israel- Haters & Trolls Blocked- Save CA #POTUS is Our President ❤󾓦 #MAGA,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
131,"@CoreyLMJones @layla07122 I have a Cherokee Roll Number as does my wife and daughters.... I'm not offended either but in consideration, He did insult the REAL Pocahontas.... But I think she'd just laugh it off.",sgtmortar,2017-11-29 02:12:11,"Master Sergeant USMC Ret.  0369  Writer, sometimes artist.      I Am, Therefore I'll Think - John Galt","{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
132,"@Education4Libs I'm Cherokee and I'm not offended, but last night I had a woman tell me I was being disingenuous because every Native American organization had said it was offensive. I told her that we were all going to have a good laugh at her expense today, which we did, then she blocked me!😂",KostiukLeah,2017-11-28 23:27:48,"Welcome to the Godless society that progressives have been fighting for. Recovering Democrat~Mother & Catholic Farm Girl~Not here for romance, don't bother.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
133,@realDonaldTrump @SenateMajLdr @SpeakerRyan I'M  CHEROKEE AND POWHATON!! I'M NOT OFFENDED BY THAT POCAHONTAS CRAP! I DON'T LIKE ELIZABETH WARREN! I DON'T THINK PRESIDENT TRUMP IS RACIST! LET'S GO KICK SOME NOKO ASS!!! WE ARE AMERICANS!!!,VarnRenee,2017-11-28 22:29:44,,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
134,"@StockMonsterVIP I have Native America blood, Cherokee and Blackfeet! im not OFFENDED!",DanielRollins18,2017-11-28 22:16:06,"LOVE GOD, FAMILY, U.S. ARMY VETERAN, RETIRED LAW ENFORCEMENT, AND LOVE AMERICA! MY OPINIONS ARE MY OWN!","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
135,"@EricTrump I'm a registered ""degree of blood"" card carrying Cherokee and I am not offended. I was offended when ""Pocahontas Warren"" claimed to be to get a job.",DSoonerborn,2017-11-28 21:10:51,MAGA/KAG🇺🇸,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
136,"@SmythRadio @SenWarren When I would head out to go roller skating and ask my dad for money he used to say, ""Who do you think you are, Sonja Henny?""  I was not offended and it was not a slur.  (We have Cherokee blood in our family.)",joav19,2017-11-28 20:38:07,"#Trump2020 
#Nationalist #MAGA #KAG U.S. Air Force Veteran #NRA DM's will not be answered AND I LOVE JESUS CHRIST 💕","{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
